scope,name,bytes,path
generated_agents,operational-final-response,1654,/home/li/primary/.agents/skills/operational-final-response/SKILL.md
generated_agents,operational-layer-communication,918,/home/li/primary/.agents/skills/operational-layer-communication/SKILL.md
generated_agents,operators-notes,3521,/home/li/primary/.agents/skills/operators-notes/SKILL.md
generated_agents,orchestrate,1970,/home/li/primary/.agents/skills/orchestrate/SKILL.md
generated_agents,prompt-crafting,514,/home/li/primary/.agents/skills/prompt-crafting/SKILL.md
generated_agents,protos,4814,/home/li/primary/.agents/skills/protos/SKILL.md
generated_agents,psyche,4508,/home/li/primary/.agents/skills/psyche/SKILL.md
generated_agents,psyche-acquisition,510,/home/li/primary/.agents/skills/psyche-acquisition/SKILL.md
generated_agents,psyche-distillation,3162,/home/li/primary/.agents/skills/psyche-distillation/SKILL.md
generated_agents,psyche-grasp,780,/home/li/primary/.agents/skills/psyche-grasp/SKILL.md
generated_agents,psyche-interraction,5271,/home/li/primary/.agents/skills/psyche-interraction/SKILL.md
generated_agents,realization,340,/home/li/primary/.agents/skills/realization/SKILL.md
generated_agents,refresh,3706,/home/li/primary/.agents/skills/refresh/SKILL.md
generated_agents,repository-lifecycle,598,/home/li/primary/.agents/skills/repository-lifecycle/SKILL.md
generated_agents,secrets,713,/home/li/primary/.agents/skills/secrets/SKILL.md
generated_agents,skill-designing,3919,/home/li/primary/.agents/skills/skill-designing/SKILL.md
generated_agents,spirit,1649,/home/li/primary/.agents/skills/spirit/SKILL.md
generated_agents,subflow,994,/home/li/primary/.agents/skills/subflow/SKILL.md
generated_agents,subflow-scripts,2694,/home/li/primary/.agents/skills/subflow-scripts/SKILL.md
generated_agents,testing,1656,/home/li/primary/.agents/skills/testing/SKILL.md
generated_agents,testing-commit-scope,727,/home/li/primary/.agents/skills/testing-commit-scope/SKILL.md
generated_agents,testing-datom-messaging,2569,/home/li/primary/.agents/skills/testing-datom-messaging/SKILL.md
generated_agents,testing-flashbook,1674,/home/li/primary/.agents/skills/testing-flashbook/SKILL.md
generated_agents,testing-flashbook-illustration,1048,/home/li/primary/.agents/skills/testing-flashbook-illustration/SKILL.md
generated_agents,testing-flow-titles,796,/home/li/primary/.agents/skills/testing-flow-titles/SKILL.md
generated_agents,testing-generated-projection,955,/home/li/primary/.agents/skills/testing-generated-projection/SKILL.md
generated_agents,testing-long-run-progress,1178,/home/li/primary/.agents/skills/testing-long-run-progress/SKILL.md
generated_agents,testing-message-route,1199,/home/li/primary/.agents/skills/testing-message-route/SKILL.md
generated_agents,testing-push-landed,818,/home/li/primary/.agents/skills/testing-push-landed/SKILL.md
generated_agents,transcript-search,683,/home/li/primary/.agents/skills/transcript-search/SKILL.md
generated_agents,versioning,256,/home/li/primary/.agents/skills/versioning/SKILL.md
generated_agents,visual-report-from-md,2691,/home/li/primary/.agents/skills/visual-report-from-md/SKILL.md
generated_agents,vocabulary,1788,/home/li/primary/.agents/skills/vocabulary/SKILL.md
generated_agents,voice-psyche,793,/home/li/primary/.agents/skills/voice-psyche/SKILL.md
generated_claude,agent-harness-packaging,1220,/home/li/primary/.claude/skills/agent-harness-packaging/SKILL.md
generated_claude,beads,3158,/home/li/primary/.claude/skills/beads/SKILL.md
generated_claude,behavior,1253,/home/li/primary/.claude/skills/behavior/SKILL.md
generated_claude,breaking-upgrades,771,/home/li/primary/.claude/skills/breaking-upgrades/SKILL.md
generated_claude,claude-harness,4881,/home/li/primary/.claude/skills/claude-harness/SKILL.md
generated_claude,codex-harness,2572,/home/li/primary/.claude/skills/codex-harness/SKILL.md
generated_claude,context-strata,1339,/home/li/primary/.claude/skills/context-strata/SKILL.md
generated_claude,correction,1010,/home/li/primary/.claude/skills/correction/SKILL.md
generated_claude,datom,6188,/home/li/primary/.claude/skills/datom/SKILL.md
generated_claude,deepseek-harness,1076,/home/li/primary/.claude/skills/deepseek-harness/SKILL.md
generated_claude,design,670,/home/li/primary/.claude/skills/design/SKILL.md
generated_claude,disk-hygiene,232,/home/li/primary/.claude/skills/disk-hygiene/SKILL.md
generated_claude,documentation-placement,972,/home/li/primary/.claude/skills/documentation-placement/SKILL.md
generated_claude,edit-coordination,445,/home/li/primary/.claude/skills/edit-coordination/SKILL.md
generated_claude,ethos,6866,/home/li/primary/.claude/skills/ethos/SKILL.md
generated_claude,feature-development,252,/home/li/primary/.claude/skills/feature-development/SKILL.md
generated_claude,field,6263,/home/li/primary/.claude/skills/field/SKILL.md
generated_claude,file-editing,1539,/home/li/primary/.claude/skills/file-editing/SKILL.md
generated_claude,flow-aspect,1731,/home/li/primary/.claude/skills/flow-aspect/SKILL.md
generated_claude,flow-communication,1693,/home/li/primary/.claude/skills/flow-communication/SKILL.md
generated_claude,flow-evidence,497,/home/li/primary/.claude/skills/flow-evidence/SKILL.md
generated_claude,herdr,1865,/home/li/primary/.claude/skills/herdr/SKILL.md
generated_claude,lojix,13318,/home/li/primary/.claude/skills/lojix/SKILL.md
generated_claude,main-feature-integration,223,/home/li/primary/.claude/skills/main-feature-integration/SKILL.md
generated_claude,main-flow,6381,/home/li/primary/.claude/skills/main-flow/SKILL.md
generated_claude,messaging,2238,/home/li/primary/.claude/skills/messaging/SKILL.md
generated_claude,metaflow,1577,/home/li/primary/.claude/skills/metaflow/SKILL.md
generated_claude,nexus,7084,/home/li/primary/.claude/skills/nexus/SKILL.md
generated_claude,nexus-rationale,975,/home/li/primary/.claude/skills/nexus-rationale/SKILL.md
generated_claude,nix-input-upgrade,2382,/home/li/primary/.claude/skills/nix-input-upgrade/SKILL.md
generated_claude,nix-workflow,1242,/home/li/primary/.claude/skills/nix-workflow/SKILL.md
generated_claude,operating-system,623,/home/li/primary/.claude/skills/operating-system/SKILL.md
generated_claude,operational-final-response,1654,/home/li/primary/.claude/skills/operational-final-response/SKILL.md
generated_claude,operational-layer-communication,918,/home/li/primary/.claude/skills/operational-layer-communication/SKILL.md
generated_claude,operators-notes,3521,/home/li/primary/.claude/skills/operators-notes/SKILL.md
generated_claude,orchestrate,1970,/home/li/primary/.claude/skills/orchestrate/SKILL.md
generated_claude,prompt-crafting,514,/home/li/primary/.claude/skills/prompt-crafting/SKILL.md
generated_claude,protos,4814,/home/li/primary/.claude/skills/protos/SKILL.md
generated_claude,psyche,4508,/home/li/primary/.claude/skills/psyche/SKILL.md
generated_claude,psyche-acquisition,510,/home/li/primary/.claude/skills/psyche-acquisition/SKILL.md
